127.0.0.1 - - [18/Jan/2018:16:35:26 -0200] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/project/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 49236
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular-toastr/dist/angular-toastr.js HTTP/1.1" 200 13939
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/font/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 49976
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/js/app.js HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/project/resources/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/project/resources/js/login.js HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/project/resources/js/config.js HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:41 -0200] "GET /DesafioWek/project/resources/js/service/loginService.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:42 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js.map HTTP/1.1" 200 8208
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:43 -0200] "GET /DesafioWek/index.html HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:35:50 -0200] "GET /DesafioWek/directives/toast/toast.html HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/ HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/bin/materialize.css HTTP/1.1" 200 181519
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/project/resources/css/style.css HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-toastr/dist/angular-toastr.css HTTP/1.1" 200 6800
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/project/resources/js/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.css HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 257551
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/project/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-toastr/dist/angular-toastr.js HTTP/1.1" 200 13939
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/project/resources/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/js/app.js HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/project/resources/js/service/loginService.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/project/resources/js/login.js HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:26 -0200] "GET /DesafioWek/project/resources/js/config.js HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:27 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 49236
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:27 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/font/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 49976
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:27 -0200] "GET /DesafioWek/index.html HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:27 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js.map HTTP/1.1" 200 8208
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:36:29 -0200] "GET /DesafioWek/directives/toast/toast.html HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:02 -0200] "GET /DesafioWek/ HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/bin/materialize.css HTTP/1.1" 200 181519
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/project/resources/css/style.css HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.css HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/project/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 257551
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/project/resources/js/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-toastr/dist/angular-toastr.css HTTP/1.1" 200 6800
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-toastr/dist/angular-toastr.js HTTP/1.1" 200 13939
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/js/app.js HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/project/resources/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/project/resources/js/service/loginService.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/project/resources/js/login.js HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/project/resources/js/config.js HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 49236
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/font/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 49976
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/index.html HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:03 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js.map HTTP/1.1" 200 8208
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:37:07 -0200] "GET /DesafioWek/directives/toast/toast.html HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/ HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-toastr/dist/angular-toastr.css HTTP/1.1" 200 6800
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/project/resources/css/style.css HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/bin/materialize.css HTTP/1.1" 200 181519
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/project/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 257551
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/project/resources/js/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.css HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-toastr/dist/angular-toastr.js HTTP/1.1" 200 13939
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/project/resources/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/js/app.js HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/project/resources/js/config.js HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/project/resources/js/login.js HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:36 -0200] "GET /DesafioWek/project/resources/js/service/loginService.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:37 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 49236
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:37 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/font/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 49976
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:37 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js.map HTTP/1.1" 200 8208
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:37 -0200] "GET /DesafioWek/index.html HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:40 -0200] "GET /DesafioWek/directives/toast/toast.html HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/ HTTP/1.1" 200 5016
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/node-materialize/bin/materialize.css HTTP/1.1" 200 181519
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/project/resources/css/style.css HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-toastr/dist/angular-toastr.css HTTP/1.1" 200 6800
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/project/resources/js/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.css HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 257551
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/project/resources/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/project/resources/js/angular-toastr.js HTTP/1.1" 200 15270
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/project/resources/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/project/resources/js/service/loginService.js HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/js/app.js HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/project/resources/js/login.js HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [18/Jan/2018:16:38:48 -0200] "GET /DesafioWek/project/resources/js/config.js HTTP/1.1" 200 627
